PHMCY_PTY_GID,ADDR_CBSA_CD,ADDR_CBSA_TITLE,ADDR_CITY_NM,ADDR_CNTY_CD,ADDR_CNTY_NM,ADDR_LINE1,ADDR_LINE2,ADDR_ST_ABBR_CD,ADDR_ZIP4_CD,ADDR_ZIP5_CD,ADDR_ZIP9_CD,AFTR_HR_IND,AUDT_DT,BE_ID,BP_SCRN_IND,BRAILLE_LBL_IND,CMPLC_MNTR_IND,CMPND_PHMCY_SRVC_IND,CNTRCT_EXPRN_DT,CNTRCT_MAIL_ORDR_IND,CVS_MAIL_IND,CVS_OWNED_IND,CVS_RTL_IND,CVS_SPCLT_IND,DLVRY_SRVC_CD,DRABL_EQPMNT_CD,DRVTHRU_IND,DZ_SPCLT_IND,E_RX_ENBL_IND,EXTN_HR_IND,FED_TAX_ID,FLU_SHOT_IND,GRP_TYP_CD,HLTH_SCRN_IND,IMMZTN_IND,INFSN_THRPY_IND,MED_REVW_IND,MSTR_GRP_CD,MSTR_GRP_NM,NCPDP_CHAIN_ID,NCPDP_CHAIN_NM,NCPDP_CHAIN_PHONE_NBR,NCPDP_FRANCH_ID,NCPDP_FRANCH_NM,NCPDP_FRANCH_PHONE_NBR,NCPDP_PRVDR_ID,NPI_ID,ONSITE_CLNC_IND,OPN_24_HR_IND,OPN_7_DAY_IND,PHMCY_CLS_CD,PHMCY_DSPNS_DESC,PHMCY_FAX_NBR,PHMCY_NM,PHMCY_PHONE_NBR,PHMCY_SRVC_TYP_CD,PREV_NABP_CD,QL_CHAIN_ID,QL_CHAIN_NM,QL_ENTY_TYP_CD,REC_CHG_TS,RECAP_CHAIN_ID,RECAP_CHAIN_NM,RECAP_CHAIN_PHONE_NBR,REUSE_IND,REUSE_NBR,SPCLT_INT_PHMCY_GRP_NM,SPCLT_PHMCY_IND,SPCLT_PHMCY_TYP_CD,BUS_UNT_NM,PHMCY_SIZING_NM,PHMCY_340B_IND,PHMCY_340B_STUS_CD,DRVD_PHMCY_IND,SPKN_PRNT_LANG_1_TXT,SPKN_PRNT_LANG_2_TXT,SPKN_PRNT_LANG_3_TXT,SPKN_PRNT_LANG_4_TXT,SPKN_PRNT_LANG_5_TXT,SRC_CD,SRC_CHG_TS,STORE_ID,STUS_CD,RECAP_STUS_CD,UNIVERSAL_MAIL_IND,VISN_SRVC_IND,WRTN_MTRL_IND,WRTN_PRNT_LANG_1_TXT,WRTN_PRNT_LANG_2_TXT,WRTN_PRNT_LANG_3_TXT,WRTN_PRNT_LANG_4_TXT,WRTN_PRNT_LANG_5_TXT
985025329,25860,"HICKORY-LENOIR-MORGANTON, NC",HICKORY,35,CATAWBA COUNTY,483 US HIGHWAY 70 SW,,NC,5019,28602,28602-5019,N,1800-01-01 00:00:00.000,ADJUDICATI,Y,,Y,N,00:00.0,N,N,N,N,N,F,L,Y,,Y,,710862119,Y,C,,,,Y,2084,WALMART,229,WALMART STORES INC,4792771242, , , ,3463837,1.01326E+11,,N,Y,CHN,CHAIN RETAIL,8286396062,WALMART PHARMACY,8286396061,CRP,0,229,WALMART,1,40:15.0,2084,WALMART, ,N,0,WALMART,N, ,RETAIL,CHAIN RETAIL,Y,37,N, , , , , ,R         ,00:00.0,Oct-15,A         ,A         ,N,,Y,ENGLISH, , , , 
1388896462,19740,"DENVER-AURORA, CO",LITTLETON,5,ARAPAHOE COUNTY,2 W DRY CREEK CIR, ,CO, ,80120,80120,,1800-01-01 00:00:00.000,Z945921,,,,,00:00.0,N,N,N,N,N,,,,,,,453449075,,,,,,,,, , , , , , ,627351,1.01184E+11,,,,, ,9706285000,PALADINA HEALTH - LITTLETON,7204187196,,0,0,INDEPENDENTS,1,30:48.0, , , ,N,0,UNDEFINED,N, ,UNDEFINED,UNDEFINED,N,36,N, , , , , ,R         ,00:00.0, ,A         ,          ,N,,,ENGLISH, , , , 
1437189233,35620,"NEW YORK-NORTHERN NEW JERSEY-LONG ISLAND, NY-NJ-PA",NEW YORK,61,NEW YORK COUNTY,2062 2ND AVE, ,NY,4704,10029,10029-4704,N,1800-01-01 00:00:00.000,ADJUDICATI,N,,Y,N,00:00.0,N,N,N,N,N,F,L,N,,Y,,862218600,,A,,,,Y,4014,EPIC RX PHARMACY NETWORK INC, , , , , , ,5834420,1.01306E+11,,N,N,INDPNDNT, ,2124106064,DRUG STOP PHARMACY,2124100509,CRP,582483,0,INDEPENDENTS,1,02:20.0,4014,EPIC RX PHARMACY NETWORK INC, ,N,0,EPIC RX PHARMACY NETWORK (VARIOUS PHARMACIES),Y,O,RETAIL,INDEPENDENTS,N,36,Y,SPANISH, , , , ,R         ,00:00.0, ,A         ,A         ,N,,Y,ENGLISH,SPANISH, , , 
125134,41860,"SAN FRANCISCO-OAKLAND-FREMONT, CA",REDWOOD CITY,81,SAN MATEO COUNTY,850 WOODSIDE RD,,CA,3746,94061,94061-3746,N,00:00.0,ADJUDICATI,Y,,Y,,00:00.0,N,N,N,N,N,L,L,N,,Y,,943019135,N,C,,,,Y,2000,SAFEWAY,400,SAFEWAY INC,2083953954, , , ,545410,1.01639E+11,,N,Y,CHN,CHAIN RETAIL,6503654992,SAFEWAY PHARMACY,6503653682,CRP,0,400,SAFEWAY STORES INC,1,30:48.0,2051,SAFEWAY STORES INC/N CAL DIV,,N,0,ALBERTSONS,N, ,RETAIL,CHAIN RETAIL,Y,37,N, , , , , ,R         ,00:00.0,747,A         ,A         ,N,,Y,ENGLISH, , , , 
1181497661,28940,"KNOXVILLE, TN",LOUDON,105,LOUDON COUNTY,2111 HIGHWAY 72 N, ,TN,5719,37774,37774,N,1800-01-01 00:00:00.000,ADJUDICATI,N,,Y,N,00:00.0,N,N,N,N,N,L,L,Y,,Y,,361924025,Y,C,,,,Y,1002,WALGREENS,226,WALGREENS DRUG STORE,2177092351, , , ,4450211,1.01943E+11,,N,Y,CHN,CHAIN RETAIL,8654589241,WALGREENS,8654589938,CRP,441994,226,WALGREENS CORPORATION,1,40:15.0,1002,WALGREENS CORPORATION, ,N,0,WALGREENS,N, ,RETAIL,CHAIN RETAIL,N,36,N, , , , , ,R         ,00:00.0,19231,A         ,A         ,N,,Y,ENGLISH, , , , 
985024389,33100,"MIAMI-FORT LAUDERDALE-POMPANO BEACH, FL",MIAMI,86,MIAMI-DADE COUNTY,2500 SW 107TH AVE STE 30,,FL,2492,33165,33165-2492,,1800-01-01 00:00:00.000,Z971393,,,,,00:00.0,N,N,N,N,N,,,,,,,465258390,,,,,,,,, , , , , , ,5722752,1.01771E+11,,,,, ,7865425934,CECILIA'S PHARMACY INC,7865425893,,0,0,INDEPENDENTS,1,30:48.0, , ,,N,0,UNDEFINED,N, ,UNDEFINED,UNDEFINED,U,99,N, , , , , ,R         ,00:00.0, ,A         ,          ,N,,, , , , , 
79864,44140,"SPRINGFIELD, MA",HOLYOKE,13,HAMPDEN COUNTY,230 MAPLE ST,,MA,5124,1040,01040-5124,Y,1800-01-01 00:00:00.000,ADJUDICATI,Y,,Y,Y,00:00.0,N,N,N,N,N,C,L,N,,Y,,42492730,Y,A,,,,Y,A605,STRATEGIC HEALTH ALLIANCE, , , , , , ,2238625,1.01478E+11,,N,N,INDPNDNT, ,4135334571,HOLYOKE HEALTH CENTER PHARMACY,4134206210,CRP,223862, , ,,40:17.0,A605,HEALTH MART ATLAS,,N,0,OTHER,N, ,RETAIL,INDEPENDENTS,Y,38,N,SPANISH, , , , ,R         ,00:00.0, ,A         ,A         ,N,,Y,ENGLISH,SPANISH, , , 
20034,37860,"PENSACOLA-FERRY PASS-BRENT, FL",NAVARRE,113,SANTA ROSA COUNTY,8244 NAVARRE PKWY, ,FL,6943,32566,32566-6943,N,1800-01-01 00:00:00.000,ADJUDICATI,Y,,Y,Y,00:00.0,N,N,N,N,N,N,L,N,,Y,,590324412,Y,C,,,,Y,1118,"PUBLIX SUPER MARKETS, INC.",302,PUBLIX SUPER MARKETS INC,8636881188, , , ,1001217,1.01519E+11,,N,Y,CHN,CHAIN RETAIL,8505150989,PUBLIX PHARMACY,8505150990,CRP,0,302,PUBLIX SUPER MARKETS INC.,1,40:15.0,1118,"PUBLIX SUPER MARKETS, INC.", ,N,0,PUBLIX,N, ,RETAIL,CHAIN RETAIL,Y,37,N, , , , , ,R         ,00:00.0,896,A         ,A         ,N,,Y,ENGLISH, , , , 
100847,49100,"WINONA, MN",WINONA,169,WINONA COUNTY,750 MANKATO AVE, ,MN,4829,55987,55987-4829,N,1800-01-01 00:00:00.000,ADJUDICATI,Y,,Y,,00:00.0,N,N,N,N,N,L,L,Y,,Y,,361924025,Y,C,,,,Y,1002,WALGREENS,226,WALGREENS DRUG STORE,2177092351, , , ,2426129,1.01296E+11,,N,Y,CHN,CHAIN RETAIL,5074524085,WALGREENS,5074524076,CRP,0,226,WALGREENS CORPORATION,1,30:48.0,1002,WALGREENS CORPORATION, ,N,0,WALGREENS,N, ,RETAIL,CHAIN RETAIL,N,36,N, , , , , ,R         ,00:00.0,7727,A         ,A         ,N,,Y,ENGLISH, , , , 
42771,34900,"NAPA, CA",YOUNTVILLE,55,NAPA COUNTY,123 CALIFORNIA DRIVE, ,CA, ,94599,94599,Y,1800-01-01 00:00:00.000,ADJUDICATI,N,,Y,N,00:00.0,N,N,N,N,N,N,N,N,,Y,,946038157,N,I,,,,Y,0,INDEPENDENTS, , , , , , ,568533,1.01387E+11,,N,N,GOVT, ,7079444628,VETERANS HOME OF CA,7079441082,CRP,0,0,INDEPENDENTS,1,30:48.0,0, , ,N,0,OTHER,N, ,RETAIL,INDEPENDENTS,N,36,N, , , , , ,R         ,00:00.0, ,A         ,A         ,N,,N,SPANISH,ENGLISH, , , 
