MAPD_PK_BenefitID,Contract_Year,Contract_Number,PBP,Category,CategoryData,Insert_DTS,Update_DTS,Insert_User_ID,UPDATE_User_ID,IsDeleted,CategoryGrp,CategoryOrder,FK_PlanID
1C2FFEC5-00A2-4020-A01A-00A490B0DFE6,2026,H7301,21,Imaging,In-Network  Xray: $0  CT Scans: $300  Diagnostic Radiology other than CT Scans: $300  Diagnostic Radiology Mammogram: $0    Out-of-Network  50%,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Diagnostic/Lab,5,AFC5373D-CE50-47BB-A241-727AA9DEFA94
BBC1D107-CDF8-40CA-86EC-00A8F965F29E,2026,H3288,9,CombinedMOOP,"$10,100 ",54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Plan Information,1,DF71E857-D789-4296-A18A-D350BBD8C752
EA5B29C3-34E5-49BF-9485-00A96E5A9573,2026,H5521,329,Alternative Therapies,,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,2E601919-993D-4EFA-A443-3386EA2A7ACC
D6C39041-0ABC-481D-B48B-00AA76D9F65D,2026,H1609,78,Lab Services,In-Network $0,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Diagnostic/Lab,5,D8AC6A7B-B31C-4347-95F8-7CC339820DD1
985521CE-90B6-48DE-B511-00AB805AA46E,2026,S5601,20,Plan Name,SilverScript Choice (PDP),54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Plan Information,1,B21C7B1A-65EA-4792-83FF-B0264BB303A0
4A26B156-2818-4B74-B907-00AD21DAE3F1,2026,H0628,12,UrgentlyNeededCare,$0 ,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Emergency/Urgent Care,4,C9E5800A-BF92-47BE-8302-26501A82334E
CB125E9E-6560-45B1-B187-00B01ACF717F,2026,H5521,395,SNF,"In-Network $0 per day, days 1-20; $216 per day, days 21-100  Out-of-Network 50% per stay",54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Facility Services,3,2DE64A64-8C33-4D62-BFD7-74131DAF4F18
96EFB257-CEC8-4B8C-8829-00B10353AF4F,2026,H2663,5,UrgentlyNeededCare,$25 ,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Emergency/Urgent Care,4,0B78CB1B-ECB0-4F47-8139-9C96C3B64BAC
B378A01B-E014-4309-A211-00B2604B7560,2026,H5521,381,Medical Deductible,$0 ,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Plan Information,1,4CCF283A-EDB3-4D15-82F2-43DE28901D65
C920FF97-F990-457F-A96D-00B35125522C,2026,H0523,75,Medical Deductible,$0 ,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Plan Information,1,60A68533-9E72-4AB4-A3E7-52F984C077B4
A7247F97-80E4-4807-8AF2-00B5A5582240,2026,H4711,11,Visitor/Traveler Program,No,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,4AABD493-9575-4B74-A3E6-8908E30B60EE
71DA33EA-D2AD-496D-881D-00B98C95461A,2026,H5522,1,Chiropractic Routine Services,In-Network $15 per visit  Out-of-Network 50% per visit  twelve visits every year,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,1C2683D7-87A1-4982-8087-70FC7D912508
24F5CB59-8CEC-4EBE-ABF9-00BAEED41463,2026,H2663,21,Ambulatory surgical center,In-Network $0 for preventive and diagnostic colonoscopy $175 all other ambulatory surgical center services,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Ambulatory surgical center,6,088C1A67-AD8D-43D2-8A62-72919D74D20F
683FB339-D9D2-4FD9-8910-00BBD4A74996,2026,H3146,36,Eyewear Coverage,In-Network  Eye Exams: $0 for non-Medicare covered eye exams Maximum one non-Medicare covered routine eye exam every calendar year with an EyeMed provider  Eyewear: $0 for Contacts $0 for Eyeglasses $0 for Eyeglass Frames $0 for Eyeglass Lenses $0 for Upgrades  $200 annual benefit amount (allowance) for non-Medicare covered prescription eyewear.,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Vision,11,0AA1933C-7092-4CA8-AA6D-BA76E42A2B33
00876F21-27BF-40DD-A51E-00BBF3BE5C59,2026,H3959,73,OTC,"Over-the-Counter (OTC) Wallet with a $250 monthly benefit amount (allowance) on the Extra Benefits Card to help pay for approved OTC health and wellness products like first aid supplies, cold and allergy medicine, pain relievers, and more. Approved products can be purchased in-store at participating locations including CVS retail locations (excluding locations inside other stores), and online or by phone through CVS OTC Health Solutions.  Qualifying members may be eligible for additional spending categories on the Extra Supports Wallet. See EOC for more information on the Extra Supports Wallet.",54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,A6512152-C403-4EA0-809E-3D0168AB1FE7
35F592BC-2D7F-4D10-B776-00BD2473D250,2026,H5521,388,Therapeutic Massage,,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,A47456D9-7958-4931-99A0-C2BE994681FC
5902EF4F-C679-41ED-9B5C-00C0692F46E9,2026,H3959,2,Specialist,In-Network $0 for services provided in a nursing home $30 for services provided outside a nursing home,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,DOCTOR SERVICES,2,5FA278EA-1AF7-420F-8AF7-45EE3DA4C5D8
2C873022-8EA2-4148-970C-00C1A987B1A6,2026,H5521,275,Diabetic Monitoring Supplies,In-Network 0% for Roche/Accu-Chek and TRUE/Trividia diabetic supplies 20% for other covered diabetic supplies  Out-of-Network 0% for Roche/Accu-Chek and TRUE/Trividia diabetic supplies 20% for other covered diabetic supplies,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Diabetic Monitoring Supplies,7,867242FA-194A-4A4B-AD3D-C19FB1427C6F
1071DF56-6986-4F08-A784-00C407F83FB7,2026,H3219,4,ER,$150 If you are admitted to the hospital within 24 hours your cost share may be waived,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Emergency/Urgent Care,4,1496A4FF-65BE-4724-BCDF-7B2F1D8DA9B9
8BFCFD76-E994-4379-897D-00C7515B4D7D,2026,H2663,40,Transportation,Not Covered,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,6D83F676-0612-4D45-AA4B-2E7A60378A62
6F6A29E8-EB0D-47AD-B263-00C8D11FA4BB,2026,H3312,69,Lab Services,In-Network $0,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Diagnostic/Lab,5,38605AAD-18FF-415D-851C-B50B315FD76C
A15307ED-D698-4D90-B671-00C94147153C,2026,H5593,1,Transportation,Not Covered,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Extra Benefits,17,07303FB7-7884-4ECA-B22E-9BF3866504AB
C99C4F9E-ED1D-4AA8-8549-00CE83CF3A5C,2026,H0628,39,Lab Services,In-Network $0,54:21.5,54:21.5,AETH\A846534,AETH\A846534,0,Diagnostic/Lab,5,2E22C438-14DC-49C8-A9BD-2C618EEACE8E
